snapped_at,price,market_cap,total_volume
2017-06-14 00:00:00 UTC,0.4692040482580007,1304166861.0393064,12698216.91820002
2017-06-15 00:00:00 UTC,0.31948968432676994,888031252.6923676,9053612.885006115
2017-06-16 00:00:00 UTC,0.31425144033630237,873471394.8911202,8993108.900013704
2017-06-17 00:00:00 UTC,0.3987549011891939,1108351323.350037,2951616.2934885537
2017-06-18 00:00:00 UTC,0.3705608023136434,1029984971.7235483,2295288.396872285
2017-06-19 00:00:00 UTC,0.3825703515204584,1063365877.4290692,3294180.2629361167
2017-06-20 00:00:00 UTC,0.4012280159778235,1115225420.7983682,3605838.617987438
2017-06-21 00:00:00 UTC,0.39032336376194315,1084915609.7387457,3789611.3622308876
2017-06-22 00:00:00 UTC,0.40163510679644987,1116356942.0566716,2283921.59640062
2017-06-23 00:00:00 UTC,0.43590825559036356,1211620197.0231197,3416870.026656549
2017-06-24 00:00:00 UTC,0.46786323829840015,1300440039.1528487,17580958.4785322
2017-06-25 00:00:00 UTC,0.42976394800191514,1194541908.0129604,4573294.811808162
2017-06-26 00:00:00 UTC,0.3734860037589921,1038115657.7247703,8475226.932786083
2017-06-27 00:00:00 UTC,0.3461145544630224,962035885.5170236,3878084.950072651
2017-06-28 00:00:00 UTC,0.33520378997497335,931709085.2118102,4163913.0946043353
2017-06-29 00:00:00 UTC,0.3668430077597736,1019651249.1750946,5257771.748096277
2017-06-30 00:00:00 UTC,0.3565443169270184,991025726.130197,4474673.029970409
2017-07-01 00:00:00 UTC,0.34488050963167893,958605820.5377249,2080369.8464336407
2017-07-02 00:00:00 UTC,0.33638907191797596,935003612.266279,2574649.4281969825
2017-07-03 00:00:00 UTC,0.33425325882521933,929067055.0961341,3395381.7321358575
2017-07-04 00:00:00 UTC,0.3502598466013827,973557850.5474778,3430927.5077566267
2017-07-05 00:00:00 UTC,0.33573900572602583,933196733.5997992,2665401.6637365306
2017-07-06 00:00:00 UTC,0.31080204062715094,863883683.9413624,7186312.208242375
2017-07-07 00:00:00 UTC,0.24711748380693566,686870529.7001398,7635419.147126741
2017-07-08 00:00:00 UTC,0.2634623888959604,732301688.3678449,2792578.1638344717
2017-07-09 00:00:00 UTC,0.2685601335026998,746471023.8772769,2181107.4349629013
2017-07-10 00:00:00 UTC,0.19158385913857423,532513138.2096734,7250538.182748156
2017-07-11 00:00:00 UTC,0.16237562194526137,451327958.41781336,6028708.9864710225
2017-07-12 00:00:00 UTC,0.20030921577354863,556765531.2065597,4081982.445138123
2017-07-13 00:00:00 UTC,0.19059469968336168,529763739.54919434,3649332.045100366
2017-07-14 00:00:00 UTC,0.15293995934111393,425101248.4694149,2894273.4400824723
2017-07-15 00:00:00 UTC,0.1408379277076761,391463285.0584505,3465420.688809295
2017-07-16 00:00:00 UTC,0.15744112404297061,437612372.0669962,3602990.738056499
2017-07-17 00:00:00 UTC,0.2247716013342185,624759472.6668636,13005237.375247313
2017-07-18 00:00:00 UTC,0.23551789189774636,654629112.7181064,10071063.223219091
2017-07-19 00:00:00 UTC,0.20196054765953866,561355458.1909525,5515528.546160122
2017-07-20 00:00:00 UTC,0.24760393799399336,688222643.8443588,8727125.496273372
2017-07-21 00:00:00 UTC,0.22343995891249516,621058132.2295561,5357370.8874175465
2017-07-22 00:00:00 UTC,0.23179929694509138,644293165.4369909,3474195.7308861907
2017-07-23 00:00:00 UTC,0.22984887035767979,638871895.672512,2582171.8844897225
2017-07-24 00:00:00 UTC,0.2280428778292995,633852084.7490073,3821077.439360183
2017-07-25 00:00:00 UTC,0.21538471432174114,598668335.9525833,2496126.789383743
2017-07-26 00:00:00 UTC,0.22998752269208037,639257284.034787,4092264.9700143794
2017-07-27 00:00:00 UTC,0.23408940171879156,650658581.0067334,2818485.165922762
2017-07-28 00:00:00 UTC,0.2274758277462916,632275951.8713092,2483720.2798917545
2017-07-29 00:00:00 UTC,0.23467272329331357,652279940.9878446,2326764.4194092113
2017-07-30 00:00:00 UTC,0.21648178931326573,601717689.1142478,2683621.248525318
2017-07-31 00:00:00 UTC,0.21178722004109385,588668991.6566049,2017274.3388739694
2017-08-01 00:00:00 UTC,0.2454022070073322,682102865.8919147,4298070.7315598745
2017-08-02 00:00:00 UTC,0.24121630587868578,670468026.9431981,2843282.5154343927
2017-08-03 00:00:00 UTC,0.27955322102230257,777026643.5416822,6881709.505499836
2017-08-04 00:00:00 UTC,0.3336221531799,927312877.8431969,17035829.917069755
2017-08-05 00:00:00 UTC,0.3467237712224246,963729221.948693,7670883.447265851
2017-08-06 00:00:00 UTC,0.3617975853671992,1005627344.8444078,5118516.410474066
2017-08-07 00:00:00 UTC,0.3972039259098654,1104040340.5929594,12292930.251878662
2017-08-08 00:00:00 UTC,0.4623280552406521,1285054830.2218895,18311031.03289904
2017-08-09 00:00:00 UTC,0.46107123842713277,1281561469.828529,11188132.270943938
2017-08-10 00:00:00 UTC,0.4775339687321579,1327320127.252208,13504041.22394658
2017-08-11 00:00:00 UTC,0.5439422757280447,1511904027.5900362,36669907.4769601
2017-08-12 00:00:00 UTC,0.6057090355129687,1683586606.8950193,16894783.95314073
2017-08-13 00:00:00 UTC,0.6829663471559473,1898325644.1898465,34425917.01625528
2017-08-14 00:00:00 UTC,0.8048984367397098,2237239579.6573834,43469924.64831808
2017-08-15 00:00:00 UTC,0.776937093971724,2159520180.6804233,71898371.34135087
2017-08-16 00:00:00 UTC,0.8777327344275808,2439684715.7218575,42971151.66513583
2017-08-17 00:00:00 UTC,0.8904201318759906,2474949721.1421695,45001163.35853697
