snapped_at,price,market_cap,total_volume
2017-07-15 00:00:00 UTC,0.028466178840000075,2637286.9132511276,34016.40792000009
2017-07-16 00:00:00 UTC,0.022823532853999923,2123828.489491352,32096.27418999989
2017-07-17 00:00:00 UTC,0.027381850912000058,2559171.5038025975,24975.287168000053
2017-07-18 00:00:00 UTC,0.02953799967999993,2772741.6888874886,7395.321919999982
2017-07-19 00:00:00 UTC,0.027664964135000008,2608206.535162803,9870.244330000003
2017-07-20 00:00:00 UTC,0.03540583402800004,3352448.3784829387,13481.548112000015
2017-07-21 00:00:00 UTC,0.032166660996,3058866.9792517694,17480.613767999996
2017-07-22 00:00:00 UTC,0.03446396853999997,3291389.19322479,22875.392679999983
2017-07-23 00:00:00 UTC,0.033707049317999914,3232732.7095028553,30802.893947999924
2017-07-24 00:00:00 UTC,0.04404585280800006,4242422.8537548175,68884.8762240001
2017-07-25 00:00:00 UTC,0.04324192116400003,4182632.2066172874,89989.59595400006
2017-07-26 00:00:00 UTC,0.039555884129999955,3842234.183857526,37468.79245199996
2017-07-27 00:00:00 UTC,0.03888917271600004,3793340.4018235533,30177.149076000027
2017-07-28 00:00:00 UTC,0.033750592840000086,3305881.6051218673,41926.931860000106
2017-07-29 00:00:00 UTC,0.03340619761499996,3285777.708842786,14911.034064999982
2017-07-30 00:00:00 UTC,0.032976611779999915,3256418.220015264,6928.659947999982
2017-07-31 00:00:00 UTC,0.033904470312000015,3361876.6494887774,19769.78936000001
2017-08-01 00:00:00 UTC,0.03312170101800005,3297772.9926534076,17933.933148000026
2017-08-02 00:00:00 UTC,0.03159050405400011,3158207.7918853783,20335.24260000007
2017-08-03 00:00:00 UTC,0.032476460203999996,3260030.17154021,7441.136423999998
2017-08-04 00:00:00 UTC,0.034297603678000034,3456832.3924183478,20487.514138000017
2017-08-05 00:00:00 UTC,0.04709104640499999,4765488.021818958,16792.083658999996
2017-08-06 00:00:00 UTC,0.0462409065000001,4698130.849633306,20681.139375000046
2017-08-07 00:00:00 UTC,0.05838840204000014,5956395.150314001,14738.935200000036
2017-08-08 00:00:00 UTC,0.047860630746999956,4901949.312164737,14833.300440999985
2017-08-09 00:00:00 UTC,0.045090573927999984,4636633.371059985,34700.81745199999
2017-08-10 00:00:00 UTC,0.08406637847999976,8663279.219011616,264877.51141599927
2017-08-11 00:00:00 UTC,0.09707772797499999,10004150.421463579,330560.76499799994
2017-08-12 00:00:00 UTC,0.08232717930000014,8489350.847783713,149042.56701000026
2017-08-13 00:00:00 UTC,0.08573372305900014,8875926.014439164,123624.52489600019
2017-08-14 00:00:00 UTC,0.08112374355199992,8431757.965698011,107882.5570699999
2017-08-15 00:00:00 UTC,0.08716832280100006,9095205.039238827,124622.9356750001
2017-08-16 00:00:00 UTC,0.11517736031999991,12065173.219359428,182891.43872999985
2017-08-17 00:00:00 UTC,0.12630893021999978,13231238.483173126,180741.54284999968
2017-08-18 00:00:00 UTC,0.12167595148800002,12824522.759152053,242266.06476800004
2017-08-19 00:00:00 UTC,0.13404541933,14164945.940777548,128140.01637999999
2017-08-20 00:00:00 UTC,0.12725832618000005,13516742.22440042,86189.90846800002
2017-08-21 00:00:00 UTC,0.11549201695999993,12314104.515881954,94667.14247999994
2017-08-22 00:00:00 UTC,0.10003269452399982,10696395.292527916,67259.67040799989
2017-08-23 00:00:00 UTC,0.12825688763999982,13729642.410288488,111042.23785199986
2017-08-24 00:00:00 UTC,0.11127789425200005,11931258.441132944,153762.38250500007
2017-08-25 00:00:00 UTC,0.11641084268000003,12481615.13750235,65970.61658000002
2017-08-26 00:00:00 UTC,0.12386787605999978,13359833.44053957,111729.1966199998
2017-08-27 00:00:00 UTC,0.1362925731,14699905.526083075,147200.63100000002
2017-08-28 00:00:00 UTC,0.13947350935800007,15059584.38880451,173373.8661090001
2017-08-29 00:00:00 UTC,0.12828731350800002,13900890.135984156,203270.64614200004
2017-08-30 00:00:00 UTC,0.14011189529999984,15218718.39927809,142724.80643999987
2017-08-31 00:00:00 UTC,0.13555047844899992,14773874.913162211,194423.9716339999
2017-09-01 00:00:00 UTC,0.14034425162499972,15334915.205741167,150185.8422149997
2017-09-02 00:00:00 UTC,0.12732431735999983,13912273.482789887,79291.93183999989
2017-09-03 00:00:00 UTC,0.12880917619200008,14074518.704931665,68190.81558000004
2017-09-04 00:00:00 UTC,0.10552145004199996,11535333.622943379,134077.86355099996
2017-09-05 00:00:00 UTC,0.11773727109000003,12894754.17633719,73351.06047000001
2017-09-06 00:00:00 UTC,0.11901080908799996,13088859.839135334,66668.09212799997
2017-09-07 00:00:00 UTC,0.10475667862200007,11521184.455462696,94928.93192300007
2017-09-08 00:00:00 UTC,0.10236191043599978,11271710.641305355,85885.20935999982
2017-09-09 00:00:00 UTC,0.10116074192000003,11180716.04059824,49815.91536000001
2017-09-10 00:00:00 UTC,0.08874827636099997,9845046.779082026,55291.951487999984
2017-09-11 00:00:00 UTC,0.08770468397099998,9758327.386162153,94769.48392099998
2017-09-12 00:00:00 UTC,0.08168937369599986,9122372.362322263,90787.03985399984
2017-09-13 00:00:00 UTC,0.07600170931200008,8518231.222781323,65974.87440000006
2017-09-14 00:00:00 UTC,0.06794682897599995,7643166.818086096,45973.631519999966
2017-09-15 00:00:00 UTC,0.06906401348999991,7796711.69359678,81629.93518999989
2017-09-16 00:00:00 UTC,0.06522374726599996,7390076.826417061,31731.087075999974
2017-09-17 00:00:00 UTC,0.06764324987840005,7691813.311606942,56429.25481760005
2017-09-18 00:00:00 UTC,0.0728909349120001,8318274.787071014,74896.20150800011
