"COUNTRY","ISO COUNTRY CODE (ISO 3166)","MIC","OPERATING MIC","O/S","NAME-INSTITUTION DESCRIPTION","ACRONYM","CITY","WEBSITE","STATUS DATE","STATUS","CREATION DATE","COMMENTS"
"UNITED KINGDOM","GB","UKRE","ICPM","S","TP ICAP UK MTF - REGISTRATION","","LONDON","WWW.TPICAP.COM","NOVEMBER 2019","ACTIVE","NOVEMBER 2019",""
"UNITED KINGDOM","GB","UKOR","ICPM","S","TP ICAP UK MTF - ORDERBOOK","","LONDON","WWW.TPICAP.COM","NOVEMBER 2019","ACTIVE","NOVEMBER 2019",""
"UNITED KINGDOM","GB","IUOB","IOTF","S","ICAP UK OTF - ORDERBOOK","","LONDON","WWW.TPICAP.COM/TPICAP/REGULATORY-HUB","AUGUST 2022","MODIFIED","NOVEMBER 2019",""
"UNITED KINGDOM","GB","TUOB","TPSO","S","TP UK OTF - ORDERBOOK","","LONDON","WWW.TPICAP.COM/TPICAP/REGULATORY-HUB","MAY 2022","ACTIVE","NOVEMBER 2019","ORGANISED TRADING FACILITY ORDERBOOK."
"UNITED STATES OF AMERICA","US","XPUS","XPUS","O","XP INVESTMENTS US, LLC","","NEW YORK","WWW.XPI.US","NOVEMBER 2019","ACTIVE","MAY 2019",""
"IRELAND","IE","BMLS","BMLI","S","BANK OF AMERICA MERRILL LYNCH INTERNATIONAL BANK DESIGNATED ACTIVITY COMPANY - SYSTEMATIC INTERNALISER","BAMLI DAC","DUBLIN","WWW.BOFAML.COM/EMEA","NOVEMBER 2019","ACTIVE","NOVEMBER 2019","SYSTEMATIC INTERNALISER."
"IRELAND","IE","BMLI","BMLI","O","BANK OF AMERICA MERRILL LYNCH INTERNATIONAL BANK DESIGNATED ACTIVITY COMPANY","BAMLI DAC","DUBLIN","WWW.BOFAML.COM/EMEA","NOVEMBER 2019","ACTIVE","NOVEMBER 2019",""
"UNITED KINGDOM","GB","SGMZ","SGMX","S","SIGMA X MTF - NEGOTIATED TRADE","","LONDON","HTTP://GSET.GS.COM/SIGMAXMTF/","NOVEMBER 2019","ACTIVE","NOVEMBER 2019",""
"UNITED KINGDOM","GB","PFXD","TRDE","S","PARNDF","","LONDON","WWW.PARFX.COM","OCTOBER 2019","ACTIVE","FEBRUARY 2019","TRADING PLATFORM FOR NDF AND DERIVATIVE PRODUCTS."
"UNITED KINGDOM","GB","TRQC","TRQX","S","TURQUOISE NYLON CLEARED CONTRACT","","LONDON","WWW.TRADETURQUOISE.COM","OCTOBER 2019","ACTIVE","MARCH 2018","TRADING PLATFORM FOR CLEARED EQUITY CONTRACTS-FOR-DIFFERENCE."
