"COUNTRY","ISO COUNTRY CODE (ISO 3166)","MIC","OPERATING MIC","O/S","NAME-INSTITUTION DESCRIPTION","ACRONYM","CITY","WEBSITE","STATUS DATE","STATUS","CREATION DATE","COMMENTS"
"THE NETHERLANDS","NL","CEUD","CCXE","S","CBOE EUROPE - DXE DARK ORDER BOOK (NL)","CBOE EU DXE DARK","AMSTERDAM","HTTP://MARKETS.CBOE.COM/EUROPE/EQUITIES/ABOUT/","JULY 2019","ACTIVE","SEPTEMBER 2018","TO BE USED FOR REPORTING DARK BOOK EXECUTIONS."
"THE NETHERLANDS","NL","CEUX","CCXE","S","CBOE EUROPE - DXE ORDER BOOKS (NL)","CBOE EU DXE","AMSTERDAM","HTTP://MARKETS.CBOE.COM/EUROPE/EQUITIES/ABOUT/","JULY 2019","ACTIVE","DECEMBER 2018","PAN-EUROPEAN RECOGNISED INVESTMENT EXCHANGE."
"THE NETHERLANDS","NL","CEUO","CCXE","S","CBOE EUROPE - DXE OFF-BOOK (NL)","CBOE EU DXE OFF BOOK","AMSTERDAM","HTTP://MARKETS.CBOE.COM/EUROPE/EQUITIES/ABOUT/","JULY 2019","ACTIVE","SEPTEMBER 2018","CBOE EUROPE (DXE) OFF-BOOK TRADE REPORTS."
"UNITED STATES OF AMERICA","US","DASH","DASH","O","DASH ATS","","CHICAGO","WWW.DASHFINANCIAL.COM","JULY 2019","ACTIVE","JULY 2019","ALTERNATIVE TRADING SYSTEM."
"RUSSIA","RU","MISX","MISX","O","MOSCOW EXCHANGE - ALL MARKETS","MOEX","MOSCOW","WWW.MOEX.COM","JULY 2019","ACTIVE","JANUARY 2012","EQUITIES, BONDS, CURRENCIES, MONEY MARKET INSTRUMENTS, COMMODITIES AND MOEX BOARD."
"HUNGARY","HU","XBND","XBUD","S","BUDAPEST STOCK EXCHANGE - XBOND","","BUDAPEST","WWW.BET.HU","JULY 2019","ACTIVE","MAY 2019","DEDICATED MARKET FOR BONDS."
"UNITED STATES OF AMERICA","US","BLKX","XINS","S","INSTINET BLOCKCROSS ATS","BLKX","NEW YORK","WWW.INSTINET.COM","JULY 2019","ACTIVE","SEPTEMBER 2012","ALTERNATIVE TRADING SYSTEM."
"POLAND","PL","PLPD","XWAR","S","WARSAW STOCK EXCHANGE/POLISH POWER EXCHANGE/REGULATED MARKET","WSE","WARSAW","WWW.TGE.PL","JULY 2019","ACTIVE","MAY 2015",""
"JAPAN","JP","BAJD","BAJD","O","BANK OF AMERICA MERRILL LYNCH - JAPAN INSTINCT X","","TOKYO","WWW.BOFAML.COM","JULY 2019","ACTIVE","JULY 2019",""
"JAPAN","JP","NMSX","NMRJ","S","NOMURA - EXTERNAL CROSSING PLATFORM","","TOKYO","WWW.NOMURA.COM","JULY 2019","ACTIVE","JULY 2019","EXTERNAL CROSSING PLATFORM FOR NOMURA."
"UNITED KINGDOM","GB","XLOD","XLON","S","LONDON STOCK EXCHANGE - CURVEGLOBAL MARKETS","LSE","LONDON","WWW.LONDONSTOCKEXCHANGE.COM","JULY 2019","ACTIVE","JULY 2013","LONDON STOCK EXCHANGE DERIVATIVES MARKET (PART OF LONDON STOCK EXCHANGE REGULATED MARKET)."
"CANADA","CA","NEOE","NEOE","O","NEO EXCHANGE - NEO-L (MARKET BY ORDER)","NEO-L","TORONTO","WWW.NEOSTOCKEXCHANGE.COM","JUNE 2019","ACTIVE","JULY 2014",""
"CANADA","CA","NEOD","NEOE","S","NEO EXCHANGE - NEO-D (DARK)","NEO-D","TORONTO","WWW.NEOSTOCKEXCHANGE.COM","JUNE 2019","ACTIVE","JULY 2018",""
"CANADA","CA","NEON","NEOE","S","NEO EXCHANGE - NEO-N (MARKET BY PRICE)","NEO-N","TORONTO","WWW.NEOSTOCKEXCHANGE.COM","JUNE 2019","ACTIVE","JULY 2018",""
"CANADA","CA","NEOC","NEOE","S","NEO CONNECT","NEO CONNECT","TORONTO","WWW.NEOSTOCKEXCHANGE.COM","JUNE 2019","ACTIVE","JULY 2018",""
"REPUBLIC OF SEYCHELLES","SC","TRPX","TRPX","O","MERJ EXCHANGE LIMITED","MERJ","EDEN ISLAND","WWW.MERJ.EXCHANGE","JUNE 2019","ACTIVE","DECEMBER 2012","SECURITIES EXCHANGE OFFERING A MULTI-ASSET, MULTI-CURRENCY TRADING PLATFORM. OFFER ISSUERS LISTING SERVICES ON THREE BOARDS-MAIN BOARD, SMALL AND MEDIUM ENTERPRISE (SME) BOARD AND VENTURE CAPITAL (VCAP) BOARD."
"CZECH REPUBLIC","CZ","KOME","KOME","O","KOMERCNI BANKA, A.S.","","PRAGUE","WWW.KB.CZ","JUNE 2019","ACTIVE","JUNE 2019",""
"UNITED STATES OF AMERICA","US","TRCX","TRCX","O","TOWER RESEARCH CAPITAL TRCX","","NEW YORK","WWW.TOWER-RESEARCH.COM","JUNE 2019","ACTIVE","JUNE 2019",""
"GREECE","GR","ERBX","ERBX","O","EUROBANK - SYSTEMATIC INTERNALISER","","ATHENS","WWW.EUROBANK.GR","JUNE 2019","ACTIVE","JUNE 2019","SYSTEMATIC INTERNALISER FOR BONDS ISSUED BY THE HELLENIC REPUBLIC."
"THE NETHERLANDS","NL","FLTR","FLWX","S","FLOW TRADERS - SYSTEMATIC INTERNALISER","","AMSTERDAM","WWW.FLOWTRADERS.COM","JUNE 2019","ACTIVE","JANUARY 2019","SYSTEMATIC INTERNALISER."
"SPAIN","ES","IBER","IBER","O","IBERCAJA BANCO SA","IBERCAJA","ZARAGOZA","WWW.IBERCAJA.ES","JUNE 2019","ACTIVE","JUNE 2019","REGISTER MARKET FOR BONDS."
"SPAIN","ES","ALLT","ALLT","O","ALLT - OTF","ALLT-OTF","MADRID","WWW.ALLTRADING.COM","SEPTEMBER 2018","ACTIVE","SEPTEMBER 2018","ORGANISED TRADING FACILITY. REGISTERED MARKET FOR BONDS."
"UNITED KINGDOM","GB","BATE","BCXE","S","CBOE EUROPE - BXE ORDER BOOKS","CBOE EUROPE","LONDON","WWW.MARKETS.CBOE.COM/EUROPE/EQUITIES/OVERVIEW/","DECEMBER 2017","ACTIVE","NOVEMBER 2008","MULTILATERAL TRADING FACILITY FOR CASH EQUITIES."
"UNITED KINGDOM","GB","BATF","BCXE","S","CBOE EUROPE - BXE OFF-BOOK","CBOE OFF-BOOK","LONDON","WWW.MARKETS.CBOE.COM/EUROPE/EQUITIES/OVERVIEW/","DECEMBER 2017","ACTIVE","APRIL 2013","CBOE EUROPE (BXE) OFF-BOOK TRADE REPORTS."
"UNITED KINGDOM","GB","BATD","BCXE","S","CBOE EUROPE - BXE DARK ORDER BOOK","CBOE DARK","LONDON","WWW.MARKETS.CBOE.COM/EUROPE/EQUITIES/OVERVIEW/","DECEMBER 2017","ACTIVE","JANUARY 2013","TO BE USED FOR REPORTING DARK BOOK EXECUTIONS."
"LUXEMBOURG","LU","BILU","BILU","O","BANQUE INTERNATIONALE A LUXEMBOURG S.A. - SYSTEMATIC INTERNALISER","BIL","LUXEMBOURG","WWW.BIL.COM","MAY 2019","ACTIVE","MAY 2019","SYSTEMATIC INTERNALISER."
"THE NETHERLANDS","NL","BTQE","BTAM","S","CME AMSTERDAM B.V. - RFQ TRADING PROTOCOL","","AMSTERDAM","WWW.NEX.COM","MAY 2019","ACTIVE","MAY 2019",""
"UNITED KINGDOM","GB","BTQG","BTEE","S","BROKERTEC EUROPE LIMITED - RFQ TRADING PROTOCOL","BEM","LONDON","WWW.BROKERTEC.COM/","MAY 2019","ACTIVE","MAY 2019",""
"SLOVAKIA","SK","CBSK","CBSK","O","CESKOSLOVENSKA OBCHODNA BANKA, A.S. - SYSTEMATIC INTERNALISER","CSOB SK","BRATISLAVA","WWW.CSOB.SK","MAY 2019","ACTIVE","MAY 2019","SYSTEMATIC INTERNALISER."
"UNITED STATES OF AMERICA","US","CODA","CODA","O","CODA MARKETS - MICRO AND BLOCK","CODA","GLENVIEW","WWW.CODAMARKETS.COM","MAY 2019","ACTIVE","NOVEMBER 2018","ON-DEMAND AUCTION BASED ALTERNATIVE TRADING SYSTEM (DARK) OFFERING TWO AUCTION TYPES."
"GERMANY","DE","SMBD","SMBD","O","SUMITOMO MITSUI BANKING CORPORATION - DUESSELDORF BRANCH - SYSTEMATIC INTERNALISER","","DUESSELDORF","WWW.SMBCGROUP.COM","JULY 2018","ACTIVE","JULY 2018","SYSTEMATIC INTERNALISER."
"UNITED KINGDOM","GB","STFL","STFL","O","STIFEL NICOLAUS EUROPE LIMITED - SYSTEMATIC INTERNALISER","","LONDON","WWW.STIFEL.COM/INSTITUTIONAL/STIFELEUROPE","SEPTEMBER 2018","ACTIVE","SEPTEMBER 2018","SYSTEMATIC INTERNALISER"
"UNITED KINGDOM","GB","XALT","XALT","O","ALTEX - ATS","","LONDON","WWW.ALTEX-ATS.CO.UK","JUNE 2007","ACTIVE","JUNE 2007",""
"SLOVAKIA","SK","EBRA","XBRA","S","BRATISLAVA STOCK EXCHANGE - MTF","","BRATISLAVA","WWW.BSSE.SK","DECEMBER 2016","ACTIVE","DECEMBER 2016",""
"ROMANIA","RO","XCAN","XBSE","S","CAN - ATS","","BUCHAREST","WWW.BVB.RO","OCTOBER 2010","ACTIVE","OCTOBER 2010","THE ALTERNATIVE TRADING SYSTEM - ""CAN-ATS"" ( NEW COMPANIES & EQUITIES) OFFER ACCESS TO TRADING FOR NEWLY SET-UP BUSINESSES AS WELL AS FOR OTHER COMPANIES THAT CANNOT BE TRADED ON THE REGULATED MARKET OF BUCHAREST STOCK EXCHANGE."
"CZECH REPUBLIC","CZ","XRMO","XRMZ","S","RM-SYSTEM CZECH STOCK EXCHANGE - MTF","RMS CZ","PRAGUE","WWW.RMSYSTEM.CZ","MAY 2010","ACTIVE","MAY 2010","ELECTRONIC TRADING PLATFORM FOR EQUITIES AND BONDS LEGALLY DEFINED AS A MULTI-SIDED TRADING SYSTEM (MOS) WITH MORE OPEN CONDITIONS FOR ACCEPTING SECURITIES."
"POLAND","PL","XNCO","XWAR","S","WARSAW STOCK EXCHANGE/ EQUITIES/NEW CONNECT - MTF","","WARSAW","WWW.NEWCONNECT.PL","AUGUST 2013","ACTIVE","JANUARY 2008","MARKET FINANCING THE GROWTH OF YOUNG COMPANIES WITH A LARGE GROWTH POTENTIAL, ORGANISED AND OPERATED BY THE WSE"
"UNITED STATES OF AMERICA","US","SAGE","SAGE","O","SAGETRADER","","SAN FRANCISCO","WWW.SAGETRADER.COM","MAY 2019","ACTIVE","MAY 2019","BROKER DEALER."
"UNITED KINGDOM","GB","ARCH","ARCH","O","ARCHAX","","LONDON","WWW.ARCHAX.COM","MAY 2019","ACTIVE","MAY 2019","MULTILATERAL TRADING FACILITY (MTF) FOR DIGITAL ASSETS."
"UNITED STATES OF AMERICA","US","EXPM","OTCM","S","EXPERT MARKET","","NEW YORK","WWW.OTCMARKETS.COM","MAY 2019","ACTIVE","MAY 2019",""
"BELGIUM","BE","TNLK","XBRU","S","EURONEXT BLOCKS","","BRUSSELS","WWW.EURONEXT.COM","MAY 2019","ACTIVE","MAY 2019","MULTILATERAL TRADING FACILITY (MTF) FOR BLOCKS."
"CANADA","CA","XDRK","XTSE","S","TORONTO STOCK EXCHANGE - DRK","TSX DRK","TORONTO","WWW.TSX.COM","MAY 2019","ACTIVE","MAY 2019","FOR TSX DARK ORDER BOOK TRADES."
"CANADA","CA","VDRK","XTSX","S","TSX VENTURE EXCHANGE - DRK","TSXV DRK","TORONTO","WWW.TSX.COM","MAY 2019","ACTIVE","MAY 2019","FOR TSXV DARK ORDER BOOK TRADES."
"FRANCE","FR","GFPO","AURB","S","GFI PARIS - OTF","","PARIS","WWW.AUREL-BGC.COM","APRIL 2019","ACTIVE","APRIL 2019","ORGANISED TRADING FACILITY."
"UNITED STATES OF AMERICA","US","JPMS","JPMS","O","JPMS, LLC","","NEW YORK","WWW.JPMORGAN.COM/COUNTRY/US/EN/CIB/MARKETS-INVESTOR-SERVICES/AQUA","APRIL 2019","ACTIVE","APRIL 2019",""
"UNITED KINGDOM","GB","SNUK","SNUK","O","SANTANDER UK - SYSTEMATIC INTERNALISER","SNUK","LONDON","WWW.SANTANDERGCB.CO.UK","APRIL 2019","ACTIVE","APRIL 2019","SYSTEMATIC INTERNALISER."
"UNITED STATES OF AMERICA","US","ARKX","ARKX","O","ARKONIS","ARKX","NEW YORK","WWW.NEXSMART.COM","APRIL 2019","ACTIVE","APRIL 2019",""
"UNITED STATES OF AMERICA","US","PUMX","PUMA","S","PUMA CAPITAL, LLC - OPTIONS","PUMA","PURCHASE","WWW.PUMACAP.COM","APRIL 2019","ACTIVE","APRIL 2019","US BROKER-DEALER."
"SAINT VINCENT AND THE GRENADINES","VC","SVXI","SVXI","O","SAINT VINCENT AND THE GRENADINES SECURITIES EXCHANGE","SVGEX","KINGSTOWN","WWW.SVGEX.COM","APRIL 2019","ACTIVE","APRIL 2019","REGISTERED MARKET FOR EQUITIES AND BONDS."
"GERMANY","DE","VWDA","VWDX","S","VWD - APA SERVICE","","FRANKFURT","WWW.TRANSACTIONSOLUTIONS.DE","APRIL 2019","ACTIVE","APRIL 2019","APPROVED PUBLICATION ARRANGEMENT."
"ALBANIA","AL","XALS","XALS","O","ALBANIA SECURITIES EXCHANGE","ALSE","TIRANA","WWW.ALSE.AL","APRIL 2019","ACTIVE","APRIL 2019","ALL CLASSES OF SECURITIES."
"UNITED KINGDOM","GB","BGFU","BGUK","S","BERENBERG FIXED INCOME UK - SYSTEMATIC INTERNALISER","BGFU","LONDON","WWW.BERENBERG.COM","APRIL 2019","ACTIVE","APRIL 2019","SYSTEMATIC INTERNALISER FOR FIXED INCOME UK."
"UNITED KINGDOM","GB","CGMG","CGMG","O","CITIGROUP GLOBAL MARKETS EUROPE AG - LONDON BRANCH - SYSTEMATIC INTERNALISER","","LONDON","WWW.CITIGROUP.COM/CITI","APRIL 2019","ACTIVE","APRIL 2019","SYSTEMATIC INTERNALISER."
"UNITED STATES OF AMERICA","US","PUMA","PUMA","O","PUMA CAPITAL, LLC","PUMA","PURCHASE","WWW.PUMACAP.COM","APRIL 2019","ACTIVE","APRIL 2019","US BROKER-DEALER."
"SOUTH AFRICA","ZA","4AXE","4AXE","O","4 AFRICA EXCHANGE (PTY) LTD","","BRYANSTON, SANDTON","WWW.4AX.CO.ZA","APRIL 2019","ACTIVE","APRIL 2019",""
"HUNGARY","HU","EBHU","EBHU","O","ERSTE BANK HUNGARY ZRT. - SYSTEMATIC INTERNALISER","","BUDAPEST","WWW.ERSTEBANK.HU","APRIL 2019","ACTIVE","APRIL 2019","SYSTEMATIC INTERNALISER."
"UNITED KINGDOM","GB","FNUK","FNUK","O","FINANTIA UK LIMITED - SYSTEMATIC INTERNALISER","","LONDON","","APRIL 2019","ACTIVE","APRIL 2019","SYSTEMATIC INTERNALISER."
"SPAIN","ES","XMFX","BMEX","S","MEFF FX FINANCIAL DERIVATIVES","","MADRID","WWW.MEFF.ES","APRIL 2019","ACTIVE","APRIL 2019","DERIVATIVES IN CURRENCIES."
"UNITED KINGDOM","GB","TRFW","RTSL","S","REFINITIV TRANSACTION SERVICES LIMITED - FORWARDS MATCHING","","LONDON","WWW.REUTERS.COM","APRIL 2019","ACTIVE","APRIL 2017","REGISTERED MARKET FOR OTC FX DERIVATIVES."
"HUNGARY","HU","UCHU","UCHU","O","UNICREDIT BANK HUNGARY ZRT. - SYSTEMATIC INTERNALISER","","BUDAPEST","WWW.UNICREDITBANK.HU","APRIL 2019","ACTIVE","APRIL 2019","SYSTEMATIC INTERNALISER."
"UNITED KINGDOM","GB","CBNL","CBNL","O","CITIBANK N.A. LONDON","","LONDON","WWW.CITIGROUP.COM/CITI","APRIL 2019","ACTIVE","DECEMBER 2017","SYSTEMATIC INTERNALISER."
"UNITED STATES OF AMERICA","US","FTUS","FTUS","O","FLOW TRADERS U.S LLC","","NEW YORK","WWW.FLOWTRADERS.COM","APRIL 2019","ACTIVE","APRIL 2019","FLOW TRADERS’ DISCLOSED LIQUIDITY PROVISION  THROUGH LEVEL ALTERNATIVE TRADING SYSTEM (ATS)."
"UNITED KINGDOM","GB","BGUK","BGUK","O","BERENBERG - SYSTEMATIC INTERNALISER UK","BGUK","LONDON","WWW.BERENBERG.COM","APRIL 2019","ACTIVE","APRIL 2019","SYSTEMATIC INTERNALISER."
"UNITED KINGDOM","GB","CLVE","CLVE","O","VERTO MTF","","LONDON","WWW.CATLEYLAKEMAN.COM","APRIL 2019","ACTIVE","APRIL 2019","MULTILATERAL TRADING FACILITY."
"UNITED STATES OF AMERICA","US","NLAX","CPGX","S","CLEARPOOL EXECUTION SERVICES, LLC - NATURAL LIQUIDITY ALLIANCE","","NEW YORK","WWW.CLEARPOOLGROUP.COM","MARCH 2019","ACTIVE","MARCH 2019","ELECTRONIC TRADING PLATFORM."
"UNITED STATES OF AMERICA","US","CPGX","CPGX","O","CLEARPOOL EXECUTION SERVICES, LLC","","NEW YORK","WWW.CLEARPOOLGROUP.COM","MARCH 2019","ACTIVE","MARCH 2019","ELECTRONIC TRADING PLATFORM."
"IRELAND","IE","CEPL","CEPL","O","CITIBANK EUROPE PLC - SYSTEMATIC INTERNALISER","","DUBLIN","WWW.CITIGROUP.COM/CITI/","MARCH 2019","ACTIVE","FEBRUARY 2018","SYSTEMATIC INTERNALISER."
"UNITED KINGDOM","GB","CEPU","CEPU","O","CITIBANK EUROPE PLC - LONDON BRANCH","","LONDON","WWW.CITIGROUP.COM/CITI","MARCH 2019","ACTIVE","MARCH 2019","SYSTEMATIC INTERNALISER."
"UNITED STATES OF AMERICA","US","DBAB","DBAB","O","DEUTSCHE BANK SECURITIES INC.","","NEW YORK","WWW.DB.COM","MARCH 2019","ACTIVE","MARCH 2019",""
"UNITED STATES OF AMERICA","US","OTCN","OTCN","O","OTC LINK ECN","","NEW YORK","WWW.OTCMARKETS.COM","MARCH 2019","ACTIVE","MARCH 2019","ELECTRONIC COMMUNICATIONS NETWORK."
"UNITED KINGDOM","GB","RTSL","RTSL","O","REFINITIV TRANSACTIONS SERVICES LIMITED","RTSL","LONDON","WWW.REUTERS.COM","MARCH 2019","ACTIVE","AUGUST 2007",""
"UNITED KINGDOM","GB","TRAL","RTSL","S","REFINITIV TRANSACTIONS SERVICES LIMITED - FXALL RFQ","","LONDON","WWW.REUTERS.COM","MARCH 2019","ACTIVE","APRIL 2017","TRADING REQUEST FOR QUOTE PLATFORM FOR FX OTC DERIVATIVES."
"IRELAND","IE","TDGF","TDGF","O","TD SECURITIES","","DUBLIN","WWW.TD.COM","MARCH 2019","ACTIVE","MARCH 2019",""
"UNITED KINGDOM","GB","UBSB","UBSB","O","UBS AG LONDON BRANCH - TRADING","","LONDON","WWW.UBS.COM","MARCH 2019","ACTIVE","JULY 2017","UBS AG LONDON BRANCH TRADING PLATFORM."
"GERMANY","DE","UBSI","UBSL","S","UBS EUROPE SE - SYSTEMATIC INTERNALISER","","FRANKFURT","WWW.UBS.COM","MARCH 2019","ACTIVE","JULY 2017","UBS EUROPE SE SYSTEMATIC INTERNALISER."
"GERMANY","DE","UBSL","UBSL","O","UBS EUROPE SE - TRADING","","FRANKFURT","WWW.UBS.COM","MARCH 2019","ACTIVE","DECEMBER 2015","UBS EUROPE SE TRADING PLATFORM."
"GERMANY","DE","XETV","XETR","S","XETRA - FREIVERKEHR - OFF-BOOK","","FRANKFURT","WWW.DEUTSCHE-BOERSE.COM","MARCH 2019","ACTIVE","MARCH 2019",""
"GERMANY","DE","XETW","XETR","S","XETRA - SCALE - OFF-BOOK","","FRANKFURT","WWW.DEUTSCHE-BOERSE.COM","MARCH 2019","ACTIVE","MARCH 2019",""
"GERMANY","DE","XETU","XETR","S","XETRA - REGULIERTERMARKT - OFF-BOOK","","FRANKFURT","WWW.DEUTSCHE-BOERSE.COM","MARCH 2019","ACTIVE","MARCH 2019",""
"GERMANY","DE","FRAV","XFRA","S","BOERSE FRANKFURT - FREIVERKEHR - OFF-BOOK","","FRANKFURT","WWW.DEUTSCHE-BOERSE.COM","MARCH 2019","ACTIVE","MARCH 2019",""
"GERMANY","DE","FRAW","XFRA","S","BOERSE FRANKFURT - SCALE - OFF-BOOK","","FRANKFURT","WWW.DEUTSCHE-BOERSE.COM","MARCH 2019","ACTIVE","MARCH 2019",""
"GERMANY","DE","FRAU","XFRA","S","BOERSE FRANKFURT - REGULIERTERMARKT - OFF-BOOK","","FRANKFURT","WWW.DEUTSCHE-BOERSE.COM","MARCH 2019","ACTIVE","MARCH 2019",""
"PORTUGAL","PT","BFPT","BFPT","O","BANCO FINANTIA S.A. - SYSTEMATIC INTERNALISER","","LISBON","WWW.FINANTIA.PT","MARCH 2019","ACTIVE","MARCH 2019","SYSTEMATIC INTERNALISER."
"HUNGARY","HU","CONC","CONC","O","CONCORDE SECURITIES LTD. - SYSTEMATIC INTERNALISER","","BUDAPEST","WWW.CON.HU","MARCH 2019","ACTIVE","MARCH 2019","SYSTEMATIC INTERNALISER."
"IRAN","IR","IFBX","IFBX","O","IRAN FARA BOURSE","IFB","TEHRAN","WWW.IFB.IR","MARCH 2019","ACTIVE","MARCH 2019",""
"UNITED KINGDOM","GB","IPXW","IPSX","S","IPSX WHOLESALE","IPSX","GUILDFORD","WWW.IPSX.COM","MARCH 2019","ACTIVE","MARCH 2019","REGISTERED MARKET FOR EQUITIES IN COMMERCIAL PROPERTY."
"UNITED STATES OF AMERICA","US","ZERO","SCXO","S","ZERO HASH","","CHICAGO","WWW.SEEDCX.COM","MARCH 2019","ACTIVE","MARCH 2019","CALCULATION AGENT AND SETTLEMENT PLATFORM."
"UNITED STATES OF AMERICA","US","SCXS","SCXO","S","SEED SEF","","CHICAGO","WWW.SEEDCX.COM","AUGUST 2018","ACTIVE","JULY 2016","ELECTRONIC TRADING PLATFORM FOR SWAPS, SWAP EXECUTION FACILITY (SEF)."
"UNITED STATES OF AMERICA","US","SCXO","SCXO","O","SEED CX","SEED CX","CHICAGO","WWW.SEEDCX.COM","OCTOBER 2017","ACTIVE","OCTOBER 2017",""
"UNITED STATES OF AMERICA","US","SCXM","SCXO","S","SEED DIGITAL COMMODITIES MARKET","","CHICAGO","WWW.SEEDCX.COM","AUGUST 2018","ACTIVE","OCTOBER 2017","ELECTRONIC TRADING PLATFORM FOR COMMODITIES."
"SINGAPORE","SG","SYFX","SYFX","O","SYNOPTION","SYFX","SINGAPORE","WWW.SYNOPTION.COM","MARCH 2019","ACTIVE","MARCH 2019","FX DERIVATIVE TRADING PLATFORM."
"UNITED KINGDOM","GB","SSIL","SSIL","O","STATE STREET BANK INTERNATIONAL FX - LONDON BRANCH - SYSTEMATIC INTERNALISER","SSIL","LONDON","WWW.STATESTREET.COM","MARCH 2019","ACTIVE","MARCH 2019","STATE STREET FOREIGN EXCHANGE SYSTEMATIC INTERNALISER."
"FRANCE","FR","TPIR","TPIC","S","TP ICAP EU - MTF - REGISTRATION","","PARIS","WWW.TPICAP.COM","FEBRUARY 2019","ACTIVE","SEPTEMBER 2018","MULTILATERAL TRADING FACILITY."
"UNITED STATES OF AMERICA","US","XCHI","XNYS","S","NYSE CHICAGO, INC.","CHX","CHICAGO","WWW.NYSE.COM","FEBRUARY 2019","ACTIVE","JUNE 2005",""
"UNITED STATES OF AMERICA","US","XCIS","XNYS","S","NYSE NATIONAL, INC.","NSX","NEW YORK","WWW.NYSE.COM","FEBRUARY 2019","ACTIVE","JUNE 2005",""
"THE NETHERLANDS","NL","MANL","MANL","O","MARKETAXESS NL B.V.","","AMSTERDAM","WWW.MARKETAXESS.COM","FEBRUARY 2019","ACTIVE","MARCH 2018","MULTILATERAL TRADING FACILITY."
"CZECH REPUBLIC","CZ","CELP","CSOB","S","ČESKOSLOVENSKÁ OBCHODNÍ BANKA, A.S. - OTHER LIQUIDITY PROVIDER (OLP)","CSOB","PRAGUE","WWW.CSOB.CZ","FEBRUARY 2019","ACTIVE","FEBRUARY 2019","OTHER LIQUIDITY PROVIDER SEGMENT."
"UNITED KINGDOM","GB","BETX","BETX","O","BET OTC BILAT COMMODITY DERIVATIVES","BET","LONDON","WWW.BP.COM/EN/GLOBAL/TRADING/","FEBRUARY 2019","ACTIVE","FEBRUARY 2019","OTC COMMODITY DERIVATIVES DONE BILATERALLY WITH CLIENTS OF THE FIRM. NO ELECTRONIC PLATFORM."
"UNITED KINGDOM","GB","BTLX","BTLX","O","BTL OTC BILAT COMMODITY DERIVATIVES","BTL","LONDON","WWW.BP.COM/EN/GLOBAL/TRADING/","FEBRUARY 2019","ACTIVE","FEBRUARY 2019","OTC COMMODITY DERIVATIVES DONE BILATERALLY WITH CLIENTS OF THE FIRM. NO ELECTRONIC PLATFORM."
"KAZAKHSTAN","KZ","CCEX","CCEX","O","CASPY COMMODITY EXCHANGE","","ASTANA","WWW.COMEX.KZ","FEBRUARY 2019","ACTIVE","FEBRUARY 2019",""
"BULGARIA","BG","ZBUL","XBUL","S","BULGARIAN STOCK EXCHANGE - MAIN MARKET","","SOFIA","WWW.BSE-SOFIA.BG","FEBRUARY 2019","ACTIVE","FEBRUARY 2019","BULGARIAN STOCK EXCHANGE MAIN MARKET."
"UNITED KINGDOM","GB","IMSB","ICPM","S","TP ICAP UK MTF - CORPORATE BONDS AND SECURITIES DEBT","","LONDON","WWW.TPICAP.COM","FEBRUARY 2019","ACTIVE","OCTOBER 2017","MULTILATERAL TRADING FACILITY FOR CORPORATE BONDS AND SECURITISED DEBT."
"FRANCE","FR","AQEU","AQEU","O","AQUIS EXCHANGE EUROPE","","PARIS","WWW.AQUIS.EU","FEBRUARY 2019","ACTIVE","SEPTEMBER 2018",""
"FRANCE","FR","AQEA","AQEU","S","AQUIS EXCHANGE EUROPE AUCTION ON DEMAND (AOD)","","PARIS","WWW.AQUIS.EU","FEBRUARY 2019","ACTIVE","SEPTEMBER 2018",""
"UNITED KINGDOM","GB","AQXA","AQXE","S","AQUIS EXCHANGE PLC AUCTION ON DEMAND (AOD)","","LONDON","WWW.AQUIS.EU","FEBRUARY 2019","ACTIVE","MARCH 2018",""
"UNITED KINGDOM","GB","AQXE","AQXE","O","AQUIS EXCHANGE PLC","AQX","LONDON","WWW.AQUIS.EU","FEBRUARY 2019","ACTIVE","JULY 2013","PAN-EUROPEAN EQUITIES TRADING EXCHANGE (MTF)."
"IRELAND","IE","BKDM","BKDM","O","BNY MELLON MARKETS EUROPE LIMITED","BNYMEL","DUBLIN","WWW.BNYMELLON.COM","FEBRUARY 2019","ACTIVE","FEBRUARY 2019","REGISTERED ELECTRONIC MARKET FOR REPO."
"ITALY","IT","BNLD","BNLD","O","BANCA NAZIONALE DEL LAVORO SPA - SYSTEMATIC INTERNALISER","","ROME","WWW.BNL.IT","FEBRUARY 2019","ACTIVE","FEBRUARY 2019","SYSTEMATIC INTERNALISER."
"THE NETHERLANDS","NL","CAVD","CAVD","O","CAVENDISH MARKETS B.V.","","AMSTERDAM","WWW.CAVENDISHMARKETS.COM","FEBRUARY 2019","ACTIVE","FEBRUARY 2019",""
"FRANCE","FR","GIPB","GIPB","O","GOLDMAN SACHS INTERNATIONAL PARIS BRANCH","","PARIS","WWW.GOLDMANSACHS.COM","FEBRUARY 2019","ACTIVE","FEBRUARY 2019",""
"FRANCE","FR","GSPX","GIPB","S","GOLDMAN SACHS INTERNATIONAL PARIS BRANCH - SYSTEMATIC INTERNALISER","","PARIS","WWW.GOLDMANSACHS.COM","FEBRUARY 2019","ACTIVE","FEBRUARY 2019","SYSTEMATIC INTERNALISER."
"UNITED KINGDOM","GB","ICPM","ICPM","O","TP ICAP UK MTF","","LONDON","WWW.ICAP.COM","FEBRUARY 2019","ACTIVE","JUNE 2007","MULTILATERAL TRADING FACILITY."
